Label,# PSMs,# Peptides,# Unique Peptides,Accession,Coverage [%],Description,Gene
RPS15,21,2,2,P62841,21,40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2,RPS15
RPS15A,88,7,7,P62244,56,40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2,RPS15A
RPS16,58,7,7,P62249,40,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,RPS16
RPS17,45,5,5,P08708,47,40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2,RPS17
RPS18,165,11,11,P62269,53,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,RPS18
RPS19,56,7,7,P39019,43,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,RPS19
RPS2,243,16,16,P15880,56,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,RPS2
RPS20,15,3,3,P60866,25,40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,RPS20
RPS23,102,6,6,P62266,48,40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3,RPS23
RPS24,48,3,3,P62847,29,40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1,RPS24
RPS25,118,5,5,P62851,30,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,RPS25
RPS26,46,3,3,P62854,34,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,RPS26
RPS27,33,4,2,P42677,39,40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3,RPS27
RPS28,5,2,2,P62857,33,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,RPS28
RPS3,290,18,18,P23396,77,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,RPS3
RPS3A,361,17,17,P61247,61,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,RPS3A
RPS4X,314,21,21,P62701,68,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",RPS4X
RPS5,70,9,9,P46782,42,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,RPS5
RPS6,187,10,10,P62753,36,40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,RPS6
RPS7,130,9,9,P62081,59,40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,RPS7
RPS8,169,8,8,P62241,46,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,RPS8
RPS9,188,16,16,P46781,57,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,RPS9
RPSA,69,6,6,P08865,32,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,RPSA
XRN2,15,3,3,Q9H0D6,4,5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,XRN2
HSPD1,5,3,3,P10809,8,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",HSPD1
RPLP0,51,9,9,P05388,35,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,RPLP0
RPLP2,2,2,2,P05387,39,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,RPLP2
RPL10,258,11,11,P27635,46,60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4,RPL10
RPL10A,102,7,7,P62906,33,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,RPL10A
RPL11,51,2,2,P62913,13,60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,RPL11
RPL12,57,5,5,P30050,49,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,RPL12
RPL13,208,10,10,P26373,36,60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,RPL13
RPL13A,127,8,8,P40429,32,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,RPL13A
RPL14,189,6,6,P50914,27,60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,RPL14
RPL15,67,9,9,P61313,43,60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2,RPL15
RPL17,159,9,9,P18621,50,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,RPL17
RPL18,108,6,6,Q07020,35,60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2,RPL18
RPL18A,83,6,6,Q02543,35,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,RPL18A
RPL19,91,5,5,P84098,22,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,RPL19
RPL21,45,5,5,P46778,33,60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,RPL21
RPL22,38,4,4,P35268,44,60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,RPL22
RPL23,84,5,5,P62829,51,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,RPL23
RPL23A,163,9,9,P62750,46,60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,RPL23A
RPL24,119,5,5,P83731,31,60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,RPL24
RPL26,154,10,10,P61254,49,60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,RPL26
RPL27,94,6,6,P61353,47,60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,RPL27
RPL27A,74,4,4,P46776,28,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,RPL27A
RPL28,67,8,8,P46779,45,60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3,RPL28
RPL29,21,2,2,P47914,14,60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2,RPL29
RPL3,324,20,20,P39023,49,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,RPL3
RPL30,82,5,5,P62888,50,60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2,RPL30
RPL31,125,5,5,P62899,37,60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,RPL31
RPL32,34,4,4,P62910,33,60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,RPL32
RPL34,116,7,7,P49207,38,60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,RPL34
RPL35,67,3,3,P42766,26,60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,RPL35
RPL35A,65,5,5,P18077,38,60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2,RPL35A
RPL36,100,7,7,Q9Y3U8,37,60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3,RPL36
RPL36A,46,5,2,P83881,38,60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2,RPL36A
RPL36AL,51,5,2,Q969Q0,38,60S ribosomal protein L36a-like OS=Homo sapiens OX=9606 GN=RPL36AL PE=1 SV=3,RPL36AL
RPL37A,23,4,4,P61513,38,60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2,RPL37A
RPL38,58,6,6,P63173,50,60S ribosomal protein L38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2,RPL38
RPL4,452,19,19,P36578,44,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,RPL4
RPL5,152,12,12,P46777,37,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,RPL5
RPL6,366,16,16,Q02878,48,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,RPL6
RPL7,416,19,19,P18124,59,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,RPL7
RPL7A,304,18,18,P62424,47,60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,RPL7A
RPL7L1,8,4,4,Q6DKI1,20,60S ribosomal protein L7-like 1 OS=Homo sapiens OX=9606 GN=RPL7L1 PE=1 SV=2,RPL7L1
RPL8,155,10,10,P62917,37,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,RPL8
RPL9,104,8,8,P32969,54,60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,RPL9
PGD,17,6,6,P52209,16,"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3",PGD
ANP32B,8,3,3,Q92688,13,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,ANP32B
ANP32E,8,3,3,Q9BTT0,15,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1,ANP32E
AFAP1,6,2,2,Q8N556,2,Actin filament-associated protein 1 OS=Homo sapiens OX=9606 GN=AFAP1 PE=1 SV=2,AFAP1
ACTA2,863,22,11,P62736,73,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",ACTA2
ACTB,1345,22,10,P60709,73,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB
ACTL6A,3,2,2,O96019,5,Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,ACTL6A
ACTR2,6,3,3,P61160,8,Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=1,ACTR2
ARPC1B,10,3,3,O15143,10,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3,ARPC1B
ARPC2,4,3,3,O15144,11,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1,ARPC2
ARPC3,3,2,2,O15145,13,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3,ARPC3
ARPC4,7,3,3,P59998,16,Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3,ARPC4
ACTR3,14,6,6,P61158,23,Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3,ACTR3
SUB1,75,5,5,P53999,39,Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3,SUB1
RPS19BP1,6,2,2,Q86WX3,18,Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1,RPS19BP1
ADNP,2,2,2,Q9H2P0,2,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1,ADNP
AHCY,4,3,3,P23526,8,Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,AHCY
AK1,3,3,3,P00568,18,Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3,AK1
CAP1,9,7,7,Q01518,19,Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5,CAP1
ARF4,24,7,5,P18085,44,ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3,ARF4
AKAP2,8,5,5,Q9Y2D5,8,A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,AKAP2
AKAP8,7,2,2,O43823,5,A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1,AKAP8
ACTN1,519,55,36,P12814,67,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,ACTN1
ACTN4,355,53,34,O43707,67,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,ACTN4
ACTR1A,2,2,2,P61163,10,Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1,ACTR1A
ENO1,79,15,12,P06733,47,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,ENO1
INA,34,3,2,Q16352,6,Alpha-internexin OS=Homo sapiens OX=9606 GN=INA PE=1 SV=2,INA
PARVA,13,6,6,Q9NVD7,20,Alpha-parvin OS=Homo sapiens OX=9606 GN=PARVA PE=1 SV=1,PARVA
TXLNA,2,2,2,P40222,7,Alpha-taxilin OS=Homo sapiens OX=9606 GN=TXLNA PE=1 SV=3,TXLNA
RAI14,6,4,4,Q9P0K7,5,Ankycorbin OS=Homo sapiens OX=9606 GN=RAI14 PE=1 SV=2,RAI14
ANXA1,69,11,11,P04083,40,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,ANXA1
ANXA2,336,24,24,P07355,66,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,ANXA2
ANXA5,85,18,18,P08758,68,Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2,ANXA5
ANXA6,55,23,23,P08133,42,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3,ANXA6
AP1B1,32,11,2,Q10567,15,AP-1 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=2,AP1B1
AP1G1,4,2,2,O43747,2,AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,AP1G1
AP2A1,62,27,17,O95782,37,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,AP2A1
AP2A2,30,13,3,O94973,17,AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,AP2A2
AP2B1,70,22,13,P63010,30,AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,AP2B1
AP2M1,27,11,11,Q96CW1,30,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,AP2M1
API5,20,7,7,Q9BZZ5,15,Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3,API5
ACIN1,12,8,8,Q9UKV3,9,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2,ACIN1
ALOX12B,13,3,3,O75342,4,"Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens OX=9606 GN=ALOX12B PE=1 SV=1",ALOX12B
ARG1,35,8,8,P05089,29,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,ARG1
ARGLU1,5,2,2,Q9NWB6,5,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,ARGLU1
RARS1,6,3,3,P54136,4,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",RARS1
ASPH,69,16,16,Q12797,29,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,ASPH
ATXN2L,6,3,3,Q8WWM7,3,Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2,ATXN2L
ATP5F1A,8,3,3,P25705,8,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",ATP5F1A
ATP5F1B,13,6,6,P06576,16,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",ATP5F1B
ABCF1,11,5,5,Q8NE71,7,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,ABCF1
ACLY,21,9,9,P53396,10,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,ACLY
RECQL,48,12,12,P46063,23,ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,RECQL
DHX9,355,41,41,Q08211,37,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,DHX9
DDX1,86,18,18,Q92499,33,ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2,DDX1
DDX18,28,8,8,Q9NVP1,13,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,DDX18
DDX24,3,3,3,Q9GZR7,5,ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1,DDX24
DDX3X,163,21,20,O00571,42,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,DDX3X
DDX42,6,5,5,Q86XP3,8,ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,DDX42
DDX50,18,5,3,Q9BQ39,9,ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,DDX50
DDX54,38,7,7,Q8TDD1,8,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,DDX54
ARID1A,5,3,3,O14497,2,AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3,ARID1A
EPB41L2,8,5,5,O43491,8,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,EPB41L2
BANF1,17,2,2,O75531,40,Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1,BANF1
HSPG2,254,85,85,P98160,30,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4,HSPG2
BZW1,5,3,3,Q7L1Q6,5,Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,BZW1
BCLAF1,28,10,9,Q9NYF8,12,Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,BCLAF1
SNTB2,11,6,6,Q13425,13,Beta-2-syntrophin OS=Homo sapiens OX=9606 GN=SNTB2 PE=1 SV=1,SNTB2
ACTBL2,467,9,2,Q562R1,25,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,ACTBL2
ENO3,34,6,3,P13929,18,Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5,ENO3
PAPSS2,5,3,3,O95340,6,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2,PAPSS2
EPRS1,6,4,4,P07814,3,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,EPRS1
BLMH,3,2,2,Q13867,5,Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1,BLMH
BAZ1A,4,2,2,Q9NRL2,2,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens OX=9606 GN=BAZ1A PE=1 SV=2,BAZ1A
BRD1,9,2,2,O95696,2,Bromodomain-containing protein 1 OS=Homo sapiens OX=9606 GN=BRD1 PE=1 SV=1,BRD1
BRD2,6,3,3,P25440,4,Bromodomain-containing protein 2 OS=Homo sapiens OX=9606 GN=BRD2 PE=1 SV=2,BRD2
BRD3,2,2,2,Q15059,3,Bromodomain-containing protein 3 OS=Homo sapiens OX=9606 GN=BRD3 PE=1 SV=1,BRD3
BYSL,8,4,4,Q13895,11,Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3,BYSL
CHERP,3,2,2,Q8IWX8,3,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,CHERP
TMCO1,6,3,3,Q9UM00,13,Calcium load-activated calcium channel OS=Homo sapiens OX=9606 GN=TMCO1 PE=1 SV=2,TMCO1
CAMK2D,11,7,7,Q13557,17,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens OX=9606 GN=CAMK2D PE=1 SV=3,CAMK2D
CALD1,117,27,27,Q05682,29,Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3,CALD1
CALM1,14,5,5,P0DP23,38,Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1,CALM1
CALML5,9,2,2,Q9NZT1,13,Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2,CALML5
CANX,13,8,8,P27824,16,Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,CANX
CAPN1,2,2,2,P07384,3,Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,CAPN1
CAPN2,9,5,5,P17655,10,Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6,CAPN2
CNN1,10,6,6,P51911,29,Calponin-1 OS=Homo sapiens OX=9606 GN=CNN1 PE=1 SV=2,CNN1
CNN2,26,9,8,Q99439,43,Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4,CNN2
CNN3,23,10,9,Q15417,42,Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1,CNN3
CALR,41,12,12,P27797,42,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,CALR
CALU,8,4,4,O43852,17,Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2,CALU
CAPRIN1,9,6,6,Q14444,10,Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2,CAPRIN1
CRTAP,4,3,3,O75718,9,Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1,CRTAP
CSNK2B,2,2,2,P67870,12,Casein kinase II subunit beta OS=Homo sapiens OX=9606 GN=CSNK2B PE=1 SV=1,CSNK2B
CASP14,30,8,8,P31944,34,Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2,CASP14
CAT,49,7,7,P04040,16,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3,CAT
CTNNA1,17,12,10,P35221,18,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,CTNNA1
CTNND1,8,5,5,O60716,7,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,CTNND1
CTSD,15,5,5,P07339,16,Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,CTSD
