Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
SVIL,2182,5621,87,87,87,O95425-4,53,Isoform SV4 of Supervillin OS=Homo sapiens GN=SVIL,SVIL,244.4,193380,6.89
NPM1,294,5062,18,18,18,P06748,67,Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2,NPM1,32.6,192400,4.78
P02769,607,5267,47,47,42,P02769,74,SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor,,69.2,182321,6.18
SUPT16H,1047,5484,65,65,65,Q9Y5B9,64,FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1,SUPT16H,119.8,178073,5.66
HIST1H4A,103,5697,19,19,19,P62805,62,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,HIST1H4A,11.4,176949,11.36
SPTBN2,2390,5514,124,124,113,O15020,62,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3",SPTBN2,271.2,172429,6.11
ACTN1,892,4766,54,54,32,P12814,68,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,ACTN1,103.0,163893,5.41
LIMA1,759,4103,44,44,2,Q9UHB6,64,LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1 PE=1 SV=1,LIMA1,85.2,160354,6.84
MYH10,1976,5039,83,83,55,P35580,48,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,MYH10,228.9,156854,5.54
NOLC1,709,3514,36,36,2,Q14978-2,54,Isoform Beta of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1,NOLC1,74.7,151767,9.47
TOP2A,1531,5188,83,83,68,P11388,59,DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3,TOP2A,174.3,151087,8.72
KRT10,593,3271,41,41,25,P13645,63,"SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10",KRT10,59.5,140677,5.21
MPRIP,1038,4224,63,63,2,Q6WCQ1-2,69,Isoform 2 of Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP,MPRIP,118.0,139054,6.39
AHNAK,5890,5091,182,182,180,Q09666,62,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,AHNAK,628.7,137898,6.15
LIG3,1009,4176,48,48,48,P49916,56,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 SV=2,LIG3,112.8,133508,9.01
SRRM2,2752,4065,70,70,70,Q9UQ35,34,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2,SRRM2,299.4,132890,12.06
HIST2H2BF,126,3875,13,13,5,Q5QNW6,63,Histone H2B type 2-F OS=Homo sapiens GN=HIST2H2BF PE=1 SV=3,HIST2H2BF,13.9,127622,10.32
DDX21,783,3656,42,42,39,Q9NR30,60,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,DDX21,87.3,126792,9.28
BAZ1B,1483,4280,74,74,73,Q9UIG0,54,Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2,BAZ1B,170.8,126608,8.48
THRAP3,955,3593,38,38,37,Q9Y2W1,35,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens GN=THRAP3 PE=1 SV=2,THRAP3,108.6,124382,10.15
LUZP1,1076,3791,63,63,63,Q86V48,67,Leucine zipper protein 1 OS=Homo sapiens GN=LUZP1 PE=1 SV=2,LUZP1,120.2,123571,8.5
AFAP1,730,3459,34,34,33,Q8N556,66,Actin filament-associated protein 1 OS=Homo sapiens GN=AFAP1 PE=1 SV=2,AFAP1,80.7,123288,8.68
RANBP2,3224,4157,129,129,100,P49792,54,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,RANBP2,358.0,122252,6.2
ACIN1,1328,3982,51,51,2,Q9UKV3-5,50,Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1,ACIN1,150.5,121933,6.43
CLTC,1675,3380,79,79,79,Q00610,63,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,CLTC,191.5,118245,5.69
DBN1,649,3575,30,30,2,Q16643,62,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4,DBN1,71.4,114004,4.45
DDB1,1140,3939,54,54,54,Q16531,61,DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,DDB1,126.9,113292,5.26
MYL12B,172,3177,14,14,6,O14950,66,Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2,MYL12B,19.8,111049,4.84
KRT2,645,2975,52,52,38,P35908,86,"SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal",KRT2,65.8,110584,8.0
TUBB,444,3192,26,26,4,P07437,82,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,TUBB,49.6,105295,4.89
SIPA1L1,1783,3811,86,86,83,O43166-2,62,Isoform 2 of Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1,SIPA1L1,197.4,104949,8.29
HNRNPM,730,3205,42,42,42,P52272,69,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,HNRNPM,77.5,102688,8.7
MYO1C,1044,3281,55,55,53,O00159-3,56,Isoform 3 of Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C,MYO1C,119.6,101100,9.45
NCL,710,2784,27,27,27,P19338,47,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,NCL,76.6,100410,4.7
FLII,1269,2991,52,52,3,Q13045,51,Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2,FLII,144.7,100365,6.05
SMARCA5,1052,3629,69,69,69,O60264,60,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1,SMARCA5,121.8,100272,8.09
BLM,1417,3093,68,68,68,P54132,67,Bloom syndrome protein OS=Homo sapiens GN=BLM PE=1 SV=1,BLM,158.9,99855,7.49
SSRP1,709,3126,33,33,33,Q08945,57,FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1,SSRP1,81.0,99035,6.87
NAT10,1025,3396,54,54,54,Q9H0A0,65,N-acetyltransferase 10 OS=Homo sapiens GN=NAT10 PE=1 SV=2,NAT10,115.7,98387,8.27
BCLAF1,920,2941,41,41,3,Q9NYF8,48,Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2,BCLAF1,106.1,95850,9.98
KRT14,472,2653,39,39,13,CONT_P02533,74,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4",KRT14,51.5,92470,5.16
SRSF1,248,3144,19,19,18,Q07955,53,Serine/arginine-rich splicing factor 1 OS=Homo sapiens GN=SRSF1 PE=1 SV=2,SRSF1,27.7,91349,10.36
MYBBP1A,1328,2857,63,63,63,Q9BQG0,59,Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2,MYBBP1A,148.8,90431,9.28
MATR3,847,2995,41,41,24,P43243,57,Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2,MATR3,94.6,89380,6.25
LIMCH1,1083,2894,57,57,9,Q9UPQ0,57,LIM and calponin homology domains-containing protein 1 OS=Homo sapiens GN=LIMCH1 PE=1 SV=4,LIMCH1,121.8,87490,6.47
TUBA1C,449,2325,25,25,3,Q9BQE3,79,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,TUBA1C,49.9,87276,5.1
PPP1R12A,1030,2732,50,50,2,O14974,51,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1,PPP1R12A,115.2,87103,5.4
NOP2,812,2658,37,37,37,P46087,55,Putative ribosomal RNA methyltransferase NOP2 OS=Homo sapiens GN=NOP2 PE=1 SV=2,NOP2,89.2,86582,9.23
RFC2,354,2257,26,26,26,P35250,77,Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3,RFC2,39.1,85938,6.44
RFC5,340,2581,28,28,28,P40937,84,Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1,RFC5,38.5,85764,7.2
RAI14,980,2456,51,51,2,Q9P0K7,64,Ankycorbin OS=Homo sapiens GN=RAI14 PE=1 SV=2,RAI14,110.0,79843,6.21
PCCA,728,2386,37,37,37,P05165,60,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens GN=PCCA PE=1 SV=4",PCCA,80.0,79447,7.52
BASP1,227,1963,17,17,17,P80723,84,Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2,BASP1,22.7,79364,4.63
MCCC1,725,2313,32,32,32,Q96RQ3,60,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=3",MCCC1,80.4,78297,7.78
XPC,940,2454,48,48,48,Q01831,56,DNA repair protein complementing XP-C cells OS=Homo sapiens GN=XPC PE=1 SV=4,XPC,105.9,77819,8.9
TUBA4A,448,2139,22,22,6,P68366,59,Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1,TUBA4A,49.9,77566,5.06
RFC4,363,2045,21,21,21,P35249,74,Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2,RFC4,39.7,77531,8.02
HSPA8,646,2192,30,30,25,P11142,56,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,HSPA8,70.9,76988,5.52
MCCC2,563,2172,30,30,30,Q9HCC0,73,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1",MCCC2,61.3,75813,7.68
NOP58,529,2159,26,26,26,Q9Y2X3,59,Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1,NOP58,59.5,75157,8.92
HSPA9,679,2002,33,33,32,P38646,56,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",HSPA9,73.6,73074,6.16
SPECC1L,1117,2342,46,46,46,Q69YQ0,53,Cytospin-A OS=Homo sapiens GN=SPECC1L PE=1 SV=2,SPECC1L,124.5,72593,5.72
KMT2A,3969,2788,102,102,101,Q03164,39,Histone-lysine N-methyltransferase 2A OS=Homo sapiens GN=KMT2A PE=1 SV=5,KMT2A,431.5,71495,9.09
RFC3,356,2211,24,24,24,P40938,76,Replication factor C subunit 3 OS=Homo sapiens GN=RFC3 PE=1 SV=2,RFC3,40.5,71185,8.34
PCCB,539,1783,27,27,27,P05166,66,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=PCCB PE=1 SV=3",PCCB,58.2,68395,7.64
RRP1B,758,2322,37,37,37,Q14684,64,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3,RRP1B,84.4,68380,9.76
HSPA1A,641,1931,28,28,25,P08107,55,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,HSPA1A,70.0,68009,5.66
DDX17,729,2075,35,35,27,Q92841,60,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2,DDX17,80.2,67753,8.27
KRT16,473,1999,37,37,18,P08779,74,"SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16",KRT16,51.2,67322,5.05
TOP1,765,3049,43,43,43,P11387,52,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,TOP1,90.7,67321,9.31
HSPA5,654,1803,24,24,22,P11021,45,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,HSPA5,72.3,66666,5.16
HNRNPA2B1,353,1910,21,21,19,P22626,81,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1,37.4,66459,8.95
LRRFIP2,424,1743,24,24,24,Q9Y608-4,64,Isoform 4 of Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens GN=LRRFIP2,LRRFIP2,48.3,66288,5.41
HNRNPR,633,2203,27,27,2,O43390,56,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,HNRNPR,70.9,66195,8.13
TJP1,1748,2311,66,66,65,Q07157,53,Tight junction protein ZO-1 OS=Homo sapiens GN=TJP1 PE=1 SV=3,TJP1,195.3,65766,6.7
P15636,653,1494,8,8,8,P15636,22,SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.,,68.1,64676,7.24
NOP56,594,1882,28,28,28,O00567,60,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,NOP56,66.0,63076,9.19
RPA1,616,1870,33,33,32,P27694,63,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,RPA1,68.1,63031,7.21
CEBPZ,1054,2191,45,45,45,Q03701,57,CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3,CEBPZ,120.9,62717,5.94
PNN,717,2148,37,37,37,Q9H307,47,Pinin OS=Homo sapiens GN=PNN PE=1 SV=4,PNN,81.6,62189,7.14
NUP153,1475,1768,37,37,37,P49790,39,Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=1 SV=2,NUP153,153.8,62117,8.73
KIAA1671,1806,2268,75,75,75,Q9BY89,58,Uncharacterized protein KIAA1671 OS=Homo sapiens GN=KIAA1671 PE=1 SV=2,KIAA1671,196.6,61460,8.47
URB1,2271,2116,70,70,70,O60287,42,Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens GN=URB1 PE=1 SV=4,URB1,254.2,61122,6.47
SNRNP200,2136,1932,79,79,79,O75643,48,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,SNRNP200,244.4,60455,6.06
KRT17,432,2078,36,36,19,Q04695,81,"SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17",KRT17,48.1,60313,5.02
FLNA,2647,2163,83,83,77,P21333,46,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,FLNA,280.6,59350,6.06
MYO1E,1108,1920,51,51,50,Q12965,55,Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2,MYO1E,127.0,59189,8.92
HNRNPH1,449,1629,19,19,10,P31943,59,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4,HNRNPH1,49.2,58968,6.3
PDCD11,1871,2155,65,65,65,Q14690,42,Protein RRP5 homolog OS=Homo sapiens GN=PDCD11 PE=1 SV=3,PDCD11,208.6,57218,8.87
PPP1R9B,815,1624,29,29,28,Q96SB3,46,Neurabin-2 OS=Homo sapiens GN=PPP1R9B PE=1 SV=2,PPP1R9B,89.1,56781,4.97
DDX5,614,1771,34,34,26,P17844,55,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,DDX5,69.1,56141,8.92
SORBS2 (1),1200,2076,36,36,4,O94875-11,34,Isoform 11 of Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens GN=SORBS2,SORBS2,134.5,55959,8.53
MISP,679,1807,33,33,33,Q8IVT2,54,Mitotic interactor and substrate of PLK1 OS=Homo sapiens GN=MISP PE=1 SV=1,MISP,75.3,55908,6.83
RAVER1,739,1633,29,29,29,Q8IY67-2,65,Isoform 2 of Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1,RAVER1,77.8,55673,8.84
CAPZA1,286,1570,15,15,10,P52907,73,F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3,CAPZA1,32.9,54424,5.69
MYH14,1995,1594,16,16,4,Q7Z406,8,Myosin-14 OS=Homo sapiens GN=MYH14 PE=1 SV=2,MYH14,227.7,54417,5.6
PLEC,4684,2211,140,140,134,Q15149,36,Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,PLEC,531.5,53946,5.96
RBM39,524,1395,22,22,22,Q14498-2,58,Isoform 2 of RNA-binding protein 39 OS=Homo sapiens GN=RBM39,RBM39,58.6,52573,10.13
SORBS2 (2),661,1949,34,34,2,O94875-8,61,Isoform 8 of Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens GN=SORBS2,SORBS2,73.8,51615,9.16
GLYR1,536,1324,25,25,25,Q49A26-2,58,Isoform 2 of Putative oxidoreductase GLYR1 OS=Homo sapiens GN=GLYR1,GLYR1,58.6,51548,9.23
RPL4,427,1715,23,23,23,P36578,49,60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5,RPL4,47.7,50858,11.06
ANXA2,339,1503,24,24,24,P07355,65,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,ANXA2,38.6,50817,7.75
KRT8,483,1687,37,37,26,P05787,68,"SWISS-PROT:P05787 Tax_Id=9606 Gene_Symbol=KRT8 Keratin, type II cytoskeletal 8",KRT8,53.7,50178,5.59
MYL9,172,1823,12,12,4,P24844,62,Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4,MYL9,19.8,49856,4.92
DDB2,427,1917,25,25,24,Q92466,67,DNA damage-binding protein 2 OS=Homo sapiens GN=DDB2 PE=1 SV=1,DDB2,47.8,49717,9.47
CAPZB,272,1741,18,18,18,P47756-2,67,Isoform 2 of F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB,CAPZB,30.6,49469,6.0
SYNPO,903,1350,33,33,33,Q8N3V7-2,55,Isoform 2 of Synaptopodin OS=Homo sapiens GN=SYNPO,SYNPO,96.3,49212,9.77
CD109,1445,1545,44,44,44,Q6YHK3,40,CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2,CD109,161.6,47919,5.85
DDX18,670,1590,29,29,29,Q9NVP1,60,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,DDX18,75.4,47894,9.5
HNRNPU,825,1572,26,26,25,Q00839,40,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6,HNRNPU,90.5,47842,6.0
DSP,2871,1784,102,102,102,P15924,41,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3,DSP,331.6,47555,6.81
PPP1CC,323,1356,18,18,4,P36873,69,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1,PPP1CC,37.0,47443,6.54
KRT6B,564,1649,42,42,5,P04259,59,"SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B",KRT6B,60.0,47305,8.0
BCORL1,1785,1725,51,51,50,Q5H9F3-3,36,Isoform 3 of BCL-6 corepressor-like protein 1 OS=Homo sapiens GN=BCORL1,BCORL1,190.5,46944,7.85
PPP1CA,330,1346,19,19,4,P62136,72,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1,PPP1CA,37.5,46565,6.33
TOP2B,1626,1692,46,46,31,Q02880,33,DNA topoisomerase 2-beta OS=Homo sapiens GN=TOP2B PE=1 SV=3,TOP2B,183.2,45347,8.0
GNAI2,355,1301,19,19,12,P04899,65,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3,GNAI2,40.4,44970,5.54
SF3B1,1304,1643,51,51,51,O75533,57,Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3,SF3B1,145.7,44930,7.09
TMOD3,352,1572,19,19,19,Q9NYL9,71,Tropomodulin-3 OS=Homo sapiens GN=TMOD3 PE=1 SV=1,TMOD3,39.6,44926,5.19
UBAP2L,983,1484,23,23,23,Q14157-1,43,Isoform 2 of Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L,UBAP2L,103.9,44760,6.98
PPP1CB,327,1257,18,18,6,P62140,70,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3,PPP1CB,37.2,44738,6.19
TUBA8,449,1244,13,13,2,Q9NY65,39,Tubulin alpha-8 chain OS=Homo sapiens GN=TUBA8 PE=1 SV=1,TUBA8,50.1,44683,5.06
PRPF8,2335,2220,90,90,90,Q6P2Q9,47,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,PRPF8,273.4,44645,8.84
ZC3H18,953,1447,34,34,6,Q86VM9,49,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens GN=ZC3H18 PE=1 SV=2,ZC3H18,106.3,44333,8.32
DHX15,795,1432,38,38,37,O43143,53,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,DHX15,90.9,44206,7.46
KIF23,960,1390,39,39,6,Q02241,52,Kinesin-like protein KIF23 OS=Homo sapiens GN=KIF23 PE=1 SV=3,KIF23,110.0,44172,8.51
TOP3A,1001,1672,41,41,41,Q13472,58,DNA topoisomerase 3-alpha OS=Homo sapiens GN=TOP3A PE=1 SV=1,TOP3A,112.3,43736,8.34
SRRM1,904,1281,27,27,27,Q8IYB3,31,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=2,SRRM1,102.3,43198,11.84
SYNCRIP,623,1468,24,24,17,O60506,52,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2,SYNCRIP,69.6,42898,8.59
GTPBP4,634,1536,32,32,32,Q9BZE4,56,Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,GTPBP4,73.9,42814,9.5
ILF3,894,1396,35,35,28,Q12906,54,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,ILF3,95.3,42717,8.76
KRT6A,564,1559,39,39,3,P02538,59,"SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytoskeletal 6A",KRT6A,60.0,42307,8.0
GNAI3,354,1175,17,17,11,P08754,62,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,GNAI3,40.5,41576,5.69
SPECC1,1068,1391,43,43,43,Q5M775,48,Cytospin-B OS=Homo sapiens GN=SPECC1 PE=1 SV=1,SPECC1,118.5,41557,6.7
SRSF2,221,904,9,9,7,Q01130,32,Serine/arginine-rich splicing factor 2 OS=Homo sapiens GN=SRSF2 PE=1 SV=4,SRSF2,25.5,41077,11.85
HNRNPF,415,1234,15,15,13,P52597,55,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3,HNRNPF,45.6,40851,5.58
HLTF,1009,1431,41,41,41,Q14527,50,Helicase-like transcription factor OS=Homo sapiens GN=HLTF PE=1 SV=2,HLTF,113.9,40714,8.6
KRT5,590,1573,36,36,9,P13647,52,"SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5",KRT5,62.3,40702,7.74
