Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
LIG3,1009,1342,48,48,48,P49916,55,DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2,LIG3,112.8,42593,619532612.5,782457666.333333,513003641.5,687368895.666667,834842919.666667,859863553.0
CLTC,1675,1264,75,75,75,Q00610,52,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,CLTC,191.5,41677,261500283.0,327170818.0,217050257.666667,174907598.0,166299982.583333,180799392.666667
DDB1,1140,1489,59,59,59,Q16531,58,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,DDB1,126.9,41265,1067143546.66667,1346958661.33333,846615168.0,858864146.0,811066570.666667,1015133440.0
MYH10,1976,1336,76,76,55,P35580,45,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,MYH10,228.9,39522,96686630.6666667,133025246.666667,100751802.666667,106982332.666667,77444665.3333333,85823122.0
KRT2,639,1062,46,46,30,P35908,66,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",KRT2,65.4,39479,865954122.333333,948608471.0,761703393.208333,606144822.666667,790048179.333333,623662892.958333
BLM,1417,1202,66,66,66,P54132,60,Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM PE=1 SV=1,BLM,158.9,39274,248409865.333333,300207970.666667,212100956.0,203878225.333333,169735557.333333,201643142.0
PC,1178,1202,54,54,54,P11498,59,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2",PC,129.6,38582,451322252.0,479194540.0,357413688.0,300094057.333333,292168130.666667,373307633.333333
ACACA,2346,1362,100,100,100,Q13085,51,Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,ACACA,265.4,38487,146990215.333333,160445634.0,113888436.666667,102320390.0,88882975.3333333,125726472.666667
MYO18A,2054,1257,109,109,109,Q92614,57,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,MYO18A,233.0,36590,98145426.3333333,93604213.3333333,85973358.6666667,47840923.1666667,76544535.3333333,97152159.3333333
KRT10,584,984,37,37,27,P13645,60,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",KRT10,58.8,36452,2277231631.91667,2263441489.5,1866424755.0,1364927493.25,1661114236.0,1548644125.33333
LUZP1,1076,1122,66,66,66,Q86V48,67,Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2,LUZP1,120.2,35892,557770849.5,578900120.0,388707806.666667,161338155.5,240841602.666667,266983492.666667
HNRNPA2B1,353,956,20,20,18,P22626,74,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1,37.4,35104,1724762427.33333,2542274969.66667,1467039147.0,1002875824.75,1035396751.58333,1137929362.16667
TOP2B,1626,1275,80,80,61,Q02880,51,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,TOP2B,183.2,34346,43893266.0,75179112.0,47289864.6666667,89692420.0,72120580.0,52181554.0
LIMA1,759,966,40,40,40,Q9UHB6,63,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,LIMA1,85.2,34313,347786332.0,457566682.666667,347616866.666667,266848342.666667,256151757.333333,310763013.333333
MPRIP,1025,1057,65,65,65,Q6WCQ1,70,Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=3,MPRIP,116.5,34144,159788440.0,200116542.666667,143860566.0,89409164.3333333,111656805.333333,132424912.0
NCL,710,966,27,27,27,P19338,48,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,NCL,76.6,34059,1580652458.66667,1733429802.66667,1344523776.0,1207456469.33333,967809408.0,1362952064.0
ACIN1,1341,1105,52,52,52,Q9UKV3,46,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2,ACIN1,151.8,33846,478820008.0,425844821.333333,433222144.0,139051277.333333,120517889.333333,289085360.0
NOLC1,699,1008,36,36,36,Q14978,55,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2,NOLC1,73.6,33782,1016174005.33333,1180810954.66667,979817322.666667,747239562.666667,1000933685.33333,955717077.333333
H2BC12,126,923,12,12,5,O60814,70,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3,H2BC12,13.9,33485,11886500442.0,15670153612.0,10107275866.6667,11151262490.0,10677553731.0,10011647433.6667
PDCD11,1871,1168,77,77,77,Q14690,46,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,PDCD11,208.6,33450,175887620.0,266818141.333333,134421484.666667,131560707.333333,198712222.0,148269900.0
THRAP3,955,1125,43,43,42,Q9Y2W1,39,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2,THRAP3,108.6,32603,319532541.333333,596062056.0,399198989.333333,151103202.666667,271118100.666667,162965529.333333
XPC,940,1089,44,44,44,Q01831,46,DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,XPC,105.9,32480,386892200.0,552201287.333333,278584578.333333,503243946.333333,311848506.75,254277309.666667
SSRP1,709,1029,35,35,35,Q08945,57,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,SSRP1,81.0,32310,1358288042.0,1571073070.33333,1134707289.16667,954954278.833333,825664266.0,1116997976.16667
HNRNPA1,372,938,20,20,16,P09651,51,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,HNRNPA1,38.7,31396,1577212128.83333,2173635293.83333,1195312306.66667,931508965.666667,1239992626.5,1179300610.41667
MYBBP1A,1328,999,61,61,61,Q9BQG0,50,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,MYBBP1A,148.8,30043,142523695.333333,153944498.0,117593246.0,122333982.0,122550055.333333,127911390.666667
SMARCA5,1052,1130,70,70,70,O60264,57,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,SMARCA5,121.8,29693,234157450.666667,325023994.666667,286220976.0,221507669.333333,217299968.0,190293096.0
AHNAK,5890,1175,146,146,145,Q09666,52,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,AHNAK,628.7,29309,230429061.333333,324057600.0,204854986.666667,649331840.0,404927776.0,213470586.666667
RPA1,616,870,35,35,35,P27694,54,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2,RPA1,68.1,29133,1206272474.66667,1316948992.0,883817093.333333,784976432.0,786717696.0,806066010.666667
BAZ1B,1483,1029,82,82,81,Q9UIG0,54,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,BAZ1B,170.8,28477,316875564.666667,374998922.666667,206700968.0,238450252.0,182481286.666667,187415644.666667
LIMCH1,1083,888,57,57,57,Q9UPQ0,59,LIM and calponin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=LIMCH1 PE=1 SV=4,LIMCH1,121.8,28127,110488476.0,127126165.333333,135819690.666667,163542156.666667,66670646.3333333,79505006.78125
KRT14,472,826,36,36,11,P02533,62,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",KRT14,51.5,27338,307239957.833333,238536618.166667,241042568.583333,188752401.0,163035207.833333,207156350.25
NAT10,1025,942,48,48,47,Q9H0A0,52,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,NAT10,115.7,27153,287367301.333333,366066549.333333,243390384.0,221126922.666667,198277904.0,209581093.333333
RFC4,363,685,25,25,25,P35249,77,Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,RFC4,39.7,26913,779971818.5,921471393.333333,598979291.333333,575228620.0,599334914.416667,694257944.333333
RFC5,340,832,26,26,26,P40937,72,Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,RFC5,38.5,26476,691012170.666667,734543669.333333,596572922.666667,443144389.333333,584010416.0,705404240.0
AFAP1,730,852,32,32,31,Q8N556,53,Actin filament-associated protein 1 OS=Homo sapiens OX=9606 GN=AFAP1 PE=1 SV=2,AFAP1,80.7,26101,999934613.333333,1262279386.66667,964273456.0,819575872.0,840362304.0,852100581.333333
CHD1,1710,943,88,88,75,O14646,52,Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2,CHD1,196.6,25814,185994618.0,240435622.166667,199469093.583333,154921426.0,209595823.416667,152620369.166667
SIPA1L1,1804,979,86,86,82,O43166,56,Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens OX=9606 GN=SIPA1L1 PE=1 SV=4,SIPA1L1,199.9,25798,245667802.666667,287114064.0,201422941.0,219563910.666667,233495208.0,176794458.0
RFC2,354,783,24,24,24,P35250,71,Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3,RFC2,39.1,25587,1145136469.33333,1449728298.66667,918568469.333333,1422645141.33333,1228783434.66667,1472406208.0
BRD4,1362,942,47,47,38,O60885,37,Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2,BRD4,152.1,25548,1135774.75,,266262.625,,,351849.375
BCLAF1,920,957,40,40,39,Q9NYF8,47,Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,BCLAF1,106.1,25517,335519258.666667,424326626.666667,318498272.0,134449525.333333,161580154.666667,159089312.0
HNRNPU,825,864,29,29,28,Q00839,39,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,HNRNPU,90.5,24868,1249082645.33333,2061455189.33333,1215436309.33333,999187477.333333,790143104.0,775046314.666667
RFC3,356,842,27,27,27,P40938,78,Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,RFC3,40.5,24838,706415397.333333,790106608.0,562800744.0,454154626.666667,510937280.0,666074346.666667
DDX17,729,763,35,35,27,Q92841,51,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,DDX17,80.2,24413,178041063.666667,212634114.25,103232177.5,135943336.333333,112562268.833333,85525948.75
NOP2,812,751,35,35,35,P46087,49,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,NOP2,89.2,24284,368128793.333333,426727495.333333,305595086.666667,286150967.0,234484990.0,283579494.333333
HNRNPM,730,758,44,44,44,P52272,66,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,HNRNPM,77.5,23983,256688933.333333,272411040.0,229058448.0,188693165.333333,243101472.0,200904405.333333
SRSF1,248,774,17,17,16,Q07955,47,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,SRSF1,27.7,23606,1239932156.91667,1493037721.33333,911449803.333333,567039370.5,538948999.291667,599522334.916667
KRT16,473,680,35,35,18,P08779,64,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",KRT16,51.2,23492,245849102.0,176278947.666667,173632237.916667,131144996.916667,121710288.541667,179600435.75
PPP1R12A,1030,808,52,52,52,O14974,50,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,PPP1R12A,115.2,23303,302201423.333333,362076921.333333,311361861.333333,212947916.833333,248086993.333333,281887363.0
KMT2A,3969,847,94,94,92,Q03164,33,Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5,KMT2A,431.5,22712,64786204.0,76915428.0,54331948.0,38219772.0,48554046.6666667,49426533.3333333
FLII,1269,691,46,46,46,Q13045,43,Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2,FLII,144.7,22575,104305261.333333,142763501.333333,96105269.3333333,74918642.6666667,72960100.0,89790794.6666667
NOP58,529,652,27,27,27,Q9Y2X3,59,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,NOP58,59.5,22521,355003948.0,354304072.0,323518760.0,211320833.333333,193444228.0,251329045.333333
KIAA1671,1806,834,78,78,78,Q9BY89,58,Uncharacterized protein KIAA1671 OS=Homo sapiens OX=9606 GN=KIAA1671 PE=1 SV=2,KIAA1671,196.6,21107,80186010.6666667,47608400.0,58548130.6666667,15627945.3333333,43220654.6666667,38721384.0
RRP1B,758,744,35,35,35,Q14684,60,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3,RRP1B,84.4,20969,268879687.333333,338829366.666667,271033750.666667,250560941.333333,233288321.333333,242473794.666667
SORBS2,1100,764,31,31,31,O94875,29,Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=3,SORBS2,124.0,20809,466483402.333333,609033948.666667,392133295.333333,295203666.333333,350545876.333333,393782500.666667
MYO1C,1063,708,44,44,43,O00159,44,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,MYO1C,121.6,20695,185555589.333333,238619674.666667,179996874.666667,156368693.333333,131917578.666667,151558160.0
DBN1,649,686,24,24,24,Q16643,51,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,DBN1,71.4,20636,314484297.333333,456322719.333333,211846287.333333,337955732.666667,295850748.333333,215387380.333333
CEBPZ,1054,718,44,44,44,Q03701,48,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,CEBPZ,120.9,20124,143406235.333333,196612620.0,140446920.0,134425976.666667,116354844.0,126901013.333333
DDX5,614,697,37,37,29,P17844,56,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,DDX5,69.1,20018,285614327.0,311655498.333333,223427820.0,196051998.666667,150412656.333333,204149557.833333
RAI14,980,673,51,51,51,Q9P0K7,59,Ankycorbin OS=Homo sapiens OX=9606 GN=RAI14 PE=1 SV=2,RAI14,110.0,19962,142272380.0,92344296.5,66592401.3333333,58590427.6666667,52725186.6666667,67849393.3333333
FLNA,2647,686,76,76,71,P21333,40,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,FLNA,280.6,19834,679876998.666667,438746492.666667,494221749.333333,200451467.666667,252044135.666667,442829227.0
SPECC1L,1117,619,43,43,42,Q69YQ0,43,Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3,SPECC1L,124.5,19571,99152483.3333333,101227764.666667,77552476.0,78080918.8333333,76573782.0,114133460.5
AHCTF1,2266,690,68,68,68,Q8WYP5,40,Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,AHCTF1,252.3,19430,251042841.333333,320159257.333333,223091460.666667,191718329.333333,252509548.333333,213898712.5
PBRM1,1689,741,79,79,79,Q86U86,50,Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1,PBRM1,192.8,19162,47181211.625,59736346.6666667,27586058.6666667,44113202.4583333,31755141.8333333,29120208.0
RBM39,530,517,22,22,22,Q14498,53,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,RBM39,59.3,19110,585124413.333333,649604290.666667,400804213.333333,323061441.333333,308064978.666667,321708517.333333
HNRNPR,633,663,28,28,20,O43390,50,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,HNRNPR,70.9,18861,359660605.666667,383666959.666667,286368416.0,227679990.333333,207629923.604167,190449023.833333
KRT5,590,639,35,35,18,P13647,47,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",KRT5,62.3,18721,190125877.333333,158896514.666667,146004561.333333,113937776.0,134515026.666667,115172945.333333
URB1,2271,644,74,74,74,O60287,41,Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens OX=9606 GN=URB1 PE=1 SV=4,URB1,254.2,18481,87418084.6666667,160018277.333333,84096971.0,47525518.6666667,97510360.6666667,69723219.6666667
RPL4,427,674,25,25,25,P36578,50,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,RPL4,47.7,18119,480288692.0,586106305.166667,410545793.0,336797568.270833,336625965.083333,348372153.375
BASP1,227,502,18,18,18,P80723,86,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,BASP1,22.7,18077,706431994.0,960520423.666667,659133743.666667,647084265.333333,795212193.333333,605524607.666667
SNRNP200,2136,638,71,71,70,O75643,38,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,SNRNP200,244.4,18051,125513422.0,201591175.0,102726987.0,37315792.6666667,143227026.666667,94649933.3333333
KRT6A,564,554,38,38,3,P02538,60,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",KRT6A,60.0,17891,81436465.3333333,72873850.0,56569139.0,45921413.3333333,46110936.6666667,54189664.1666667
TOP3A,1001,621,43,43,43,Q13472,55,DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1,TOP3A,112.3,17534,186758630.0,237096390.0,158009234.666667,149162422.5,128852047.0,150345253.333333
BRD2,801,592,40,40,35,P25440,55,Bromodomain-containing protein 2 OS=Homo sapiens OX=9606 GN=BRD2 PE=1 SV=2,BRD2,88.0,17463,3139208.33333333,5763372.16666667,3699165.83333333,900112.666666667,3107223.16666667,1315477.5
KRT6B,564,536,37,37,4,P04259,60,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",KRT6B,60.0,17402,146781890.0,116961484.0,104638674.0,85651805.0,73935906.0,96036437.6666667
BRD3,726,625,35,35,28,Q15059,47,Bromodomain-containing protein 3 OS=Homo sapiens OX=9606 GN=BRD3 PE=1 SV=1,BRD3,79.5,17263,601630.875,488084.875,,273073.708333333,,
HSPA8,646,568,31,31,26,P11142,54,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,HSPA8,70.9,17125,143521142.666667,188077709.333333,127437158.0,105168142.0,123237532.0,121655768.0
