Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot
MYL12B,172,1452,13,13,6,O14950,66,Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2,MYL12B,19.8,44460
NOP58,529,1310,28,28,28,Q9Y2X3,60,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,NOP58,59.5,44334
POTEI,1075,1276,8,8,2,P0CG38,9,POTE ankyrin domain family member I OS=Homo sapiens OX=9606 GN=POTEI PE=3 SV=1,POTEI,121.2,43861
SORBS2,1100,1587,35,35,35,O94875,34,Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=3,SORBS2,124.0,43148
DDX5,614,1468,39,39,31,P17844,56,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,DDX5,69.1,42824
RRP1B,758,1571,39,39,39,Q14684,59,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3,RRP1B,84.4,42634
KIAA1671,1806,1711,81,81,81,Q9BY89,60,Uncharacterized protein KIAA1671 OS=Homo sapiens OX=9606 GN=KIAA1671 PE=1 SV=2,KIAA1671,196.6,42554
DBN1,649,1473,31,31,31,Q16643,63,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,DBN1,71.4,41893
RAI14,980,1370,50,50,50,Q9P0K7,61,Ankycorbin OS=Homo sapiens OX=9606 GN=RAI14 PE=1 SV=2,RAI14,110.0,41760
FLNA,2647,1498,82,82,74,P21333,44,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,FLNA,280.6,41100
URB1,2271,1471,80,80,80,O60287,44,Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens OX=9606 GN=URB1 PE=1 SV=4,URB1,254.2,41022
SPECC1L,1117,1275,47,47,47,Q69YQ0,51,Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3,SPECC1L,124.5,40927
RBM39,530,1155,22,22,22,Q14498,53,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,RBM39,59.3,40628
CEBPZ,1054,1492,49,49,49,Q03701,56,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,CEBPZ,120.9,40511
AHCTF1,2266,1396,75,75,75,Q8WYP5,44,Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,AHCTF1,252.3,39565
KMT2A,3969,1469,99,99,96,Q03164,34,Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5,KMT2A,431.5,38832
SNRNP200,2136,1329,86,86,85,O75643,48,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,SNRNP200,244.4,38785
RPL4,427,1393,26,26,26,P36578,52,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,RPL4,47.7,36908
HNRNPR,633,1336,28,28,21,O43390,51,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,HNRNPR,70.9,36905
TOP3A,1001,1306,46,46,46,Q13472,57,DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1,TOP3A,112.3,35819
MCCC2,563,1013,28,28,28,Q9HCC0,67,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1",MCCC2,61.3,35581
KRT5,590,1229,39,39,20,P13647,50,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",KRT5,62.3,35321
NOP56,594,1072,30,30,30,O00567,62,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,NOP56,66.0,35205
BASP1,227,1026,17,17,17,P80723,86,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,BASP1,22.7,34976
KRT6A,564,1089,43,43,4,P02538,61,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",KRT6A,60.0,34834
XRCC1,633,1296,31,31,31,P18887,55,DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=3,XRCC1,69.5,34654
TRIP12,1992,1149,61,61,61,Q14669,41,E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1,TRIP12,220.3,34299
KRT6B,564,1043,42,42,4,P04259,61,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",KRT6B,60.0,33809
SF3B1,1304,1280,59,59,59,O75533,56,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,SF3B1,145.7,33735
ABLIM1,778,997,29,29,29,O14639,40,Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3,ABLIM1,87.6,33123
SCAF11,1463,1108,41,41,41,Q99590,37,Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2,SCAF11,164.6,33047
HNRNPK,463,1024,26,26,26,P61978,65,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK,50.9,32945
TJP1,1748,1284,67,67,65,Q07157,49,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1,195.3,32443
DHX15,795,1129,41,41,40,O43143,58,ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,DHX15,90.9,32032
MCCC1,725,1042,32,32,32,Q96RQ3,58,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3",MCCC1,80.4,31955
PCCA,728,1121,38,38,38,P05165,56,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCA PE=1 SV=4",PCCA,80.0,31633
KRT17,432,1093,33,33,16,Q04695,66,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",KRT17,48.1,31591
HNRNPA3,378,927,17,17,14,P51991,45,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3,39.6,31498
RBM28,759,944,35,35,35,Q9NW13,48,RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3,RBM28,85.7,30641
AP2B1,937,1163,46,46,46,P63010,59,AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,AP2B1,104.5,30360
PRPF8,2335,1326,87,87,87,Q6P2Q9,46,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,PRPF8,273.4,30298
GTPBP4,634,1035,39,39,38,Q9BZE4,60,GTP-binding protein 4 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3,GTPBP4,73.9,30266
KIF23,960,1045,47,47,47,Q02241,54,Kinesin-like protein KIF23 OS=Homo sapiens OX=9606 GN=KIF23 PE=1 SV=3,KIF23,110.0,30253
DDB2,427,1161,24,24,23,Q92466,65,DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=1,DDB2,47.8,30222
HSPA8,646,998,30,30,25,P11142,53,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,HSPA8,70.9,29795
HSPA1A,641,843,32,32,29,P0DMV8,64,Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1,HSPA1A,70.0,29541
AP2A1,977,1103,49,49,34,O95782,62,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,AP2A1,107.5,29213
MATR3,847,1186,40,40,40,P43243,55,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,MATR3,94.6,29165
WDR3,943,1046,44,44,44,Q9UNX4,58,WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1,WDR3,106.0,29129
BCORL1,1785,1141,58,58,57,Q5H9F3,39,BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=2,BCORL1,190.4,29035
MYO6,1294,1069,58,58,58,Q9UM54,50,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,MYO6,149.6,28987
PPP1CA,330,930,19,19,4,P62136,72,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,PPP1CA,37.5,28856
ANXA2,339,905,25,25,25,P07355,67,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,ANXA2,38.6,28852
MISP,679,1125,38,38,38,Q8IVT2,61,Mitotic interactor and substrate of PLK1 OS=Homo sapiens OX=9606 GN=MISP PE=1 SV=1,MISP,75.3,28638
DDX54,881,1009,45,45,44,Q8TDD1,60,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,DDX54,98.5,28295
CAPZA1,286,838,15,15,10,P52907,73,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,CAPZA1,32.9,28245
PRPF40A,957,906,36,36,36,O75400,39,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,PRPF40A,108.7,28172
CAPZB,277,955,15,15,15,P47756,55,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4,CAPZB,31.3,27870
ILF3,894,941,35,35,29,Q12906,55,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,ILF3,95.3,27716
RBM25,843,1003,34,34,34,P49756,38,RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,RBM25,100.1,27534
KRT8,483,940,36,36,26,P05787,61,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",KRT8,53.7,27472
TBL3,808,942,37,37,37,Q12788,60,Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2,TBL3,89.0,27136
CHD1,1710,1062,81,81,67,O14646,49,Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2,CHD1,196.6,27066
PCCB,539,809,26,26,26,P05166,63,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCB PE=1 SV=3",PCCB,58.2,27065
DDX46,1031,971,47,47,47,Q7L014,50,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,DDX46,117.3,26922
FBL,321,856,24,24,24,P22087,70,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,FBL,33.8,26746
HRNR,2850,790,26,26,26,Q86YZ3,27,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,HRNR,282.2,26729
PPP1CC,323,852,18,18,4,P36873,68,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1,PPP1CC,37.0,26497
CHD2,1828,1080,65,65,51,O14647,42,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2,CHD2,211.2,26394
PPP1CB,327,854,19,19,7,P62140,71,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,PPP1CB,37.2,26333
LRRFIP2,721,816,24,24,23,Q9Y608,37,Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens OX=9606 GN=LRRFIP2 PE=1 SV=1,LRRFIP2,82.1,26272
DDX18,670,898,30,30,30,Q9NVP1,50,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,DDX18,75.4,26057
LYAR,379,797,21,21,21,Q9NX58,57,Cell growth-regulating nucleolar protein OS=Homo sapiens OX=9606 GN=LYAR PE=1 SV=3,LYAR,43.6,25720
SF3B3,1217,840,41,41,41,Q15393,44,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3,135.5,25577
PNN,717,850,34,34,34,Q9H307,44,Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5,PNN,81.6,25303
RBMX,391,1021,26,26,9,P38159,54,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",RBMX,42.3,25258
MYL9,172,959,9,9,2,P24844,51,Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,MYL9,19.8,25217
NOL8,1167,997,57,57,57,Q76FK4,53,Nucleolar protein 8 OS=Homo sapiens OX=9606 GN=NOL8 PE=1 SV=1,NOL8,131.5,25180
SYNCRIP,623,926,24,24,17,O60506,50,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,SYNCRIP,69.6,25180
USP36,1123,957,47,47,47,Q9P275,49,Ubiquitin carboxyl-terminal hydrolase 36 OS=Homo sapiens OX=9606 GN=USP36 PE=1 SV=4,USP36,122.8,25165
DDX3X,662,761,34,34,33,O00571,55,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,DDX3X,73.2,25130
